,Date,Open,High,Low,Close,Adj Close,Volume
1471,2003-05-28,13257.0,13427.0,13257.0,13294.0,13294.0,0.0
2231,2006-05-11,41758.0,42062.0,40777.0,40847.0,40847.0,0.0
803,2000-11-03,14785.0,14925.0,14425.0,14534.0,14534.0,0.0
111,1998-03-11,11331.0,11331.0,11181.0,11223.0,11223.0,0.0
2921,2009-02-16,41672.0,41841.0,41026.0,41841.0,41841.0,1088600.0
122,1998-03-26,11689.0,11945.0,11689.0,11945.0,11945.0,0.0
2196,2006-03-23,37850.0,38128.0,37207.0,37474.0,37474.0,0.0
2297,2006-08-11,37354.0,37502.0,36886.0,36944.0,36944.0,0.0
1624,2003-12-29,21815.0,22046.0,21815.0,22045.0,22045.0,0.0
1065,2001-11-06,12154.0,12481.0,12139.0,12416.0,12416.0,0.0
6138,2022-02-07,112247.0,112517.0,111490.0,111996.0,111996.0,10672800.0
2952,2009-04-02,41977.0,44286.0,41977.0,43736.0,43736.0,2363600.0
2105,2005-11-14,30510.0,30510.0,29948.0,30219.0,30219.0,0.0
6152,2022-02-25,111591.0,113142.0,110673.0,113142.0,113142.0,17555700.0
3800,2012-08-31,57257.0,57835.0,56719.0,57061.0,57061.0,5747200.0
4143,2014-01-24,48325.0,48327.0,47493.0,47787.0,47787.0,3535000.0
1588,2003-11-07,18614.0,18907.0,18614.0,18672.0,18672.0,0.0
4522,2015-08-06,50280.0,50534.0,49624.0,50011.0,50011.0,3640800.0
3179,2010-03-05,67823.0,68930.0,67823.0,68847.0,68847.0,1950600.0
715,2000-07-04,17106.0,17340.0,17088.0,17279.0,17279.0,0.0
2013,2005-07-04,25314.0,25314.0,24899.0,25045.0,25045.0,0.0
1280,2002-09-03,10365.0,10372.0,10065.0,10136.0,10136.0,0.0
3623,2011-12-15,56647.0,57332.0,56232.0,56331.0,56331.0,2605800.0
3698,2012-04-05,63518.0,64299.0,63384.0,63691.0,63691.0,2294800.0
5758,2020-07-24,102292.0,102694.0,100859.0,102382.0,102382.0,9795200.0
4853,2016-12-07,61111.0,61918.0,61062.0,61414.0,61414.0,3841700.0
958,2001-06-08,15469.0,15644.0,15355.0,15366.0,15366.0,0.0
1681,2004-03-17,21620.0,22034.0,21620.0,21901.0,21901.0,0.0
4453,2015-04-28,55549.0,56018.0,54973.0,55812.0,55812.0,4082600.0
5123,2017-12-29,76077.0,76437.0,76077.0,76402.0,76402.0,0.0
5887,2021-02-03,118235.0,120210.0,118234.0,119725.0,119725.0,8704300.0
2244,2006-05-30,38149.0,38149.0,36413.0,36413.0,36413.0,0.0
2263,2006-06-26,34663.0,34875.0,34584.0,34631.0,34631.0,0.0
3729,2012-05-22,56586.0,56586.0,54886.0,55039.0,55039.0,3667400.0
2022,2005-07-15,25916.0,25916.0,25222.0,25222.0,25222.0,0.0
1348,2002-12-06,10414.0,10575.0,10412.0,10569.0,10569.0,0.0
4232,2014-06-05,51833.0,52245.0,51470.0,51559.0,51559.0,2890000.0
5816,2020-10-16,99054.0,99172.0,98309.0,98309.0,98309.0,7840200.0
2857,2008-11-11,36775.0,37629.0,35499.0,37262.0,37262.0,1536400.0
5995,2021-07-13,127594.0,128420.0,126441.0,128168.0,128168.0,7152000.0
1493,2003-06-27,13112.0,13193.0,12976.0,13024.0,13024.0,0.0
488,1999-08-20,9819.0,10145.0,9819.0,10143.0,10143.0,0.0
1445,2003-04-22,12393.0,12502.0,12245.0,12452.0,12452.0,0.0
5469,2019-05-28,94863.0,96552.0,94707.0,96393.0,96393.0,6383100.0
1257,2002-08-01,9782.0,9864.0,9537.0,9760.0,9760.0,0.0
5998,2021-07-16,127468.0,128010.0,125808.0,125960.0,125960.0,7355800.0
1536,2003-08-27,14876.0,15143.0,14876.0,15143.0,15143.0,0.0
5219,2018-05-21,83095.0,83883.0,81576.0,81815.0,81815.0,4242200.0
745,2000-08-15,17811.0,17910.0,17690.0,17744.0,17744.0,0.0
5209,2018-05-07,83199.0,83643.0,82602.0,82714.0,82714.0,2843000.0
2431,2007-02-23,46452.0,46517.0,45813.0,46016.0,46016.0,76534200.0
2190,2006-03-15,37546.0,38341.0,37543.0,38244.0,38244.0,0.0
4219,2014-05-19,53976.0,53991.0,53267.0,53353.0,53353.0,3089500.0
5386,2019-01-24,96558.0,97677.0,96558.0,97677.0,97677.0,5019400.0
5952,2021-05-11,121904.0,122964.0,120145.0,122964.0,122964.0,7988600.0
272,1998-10-22,7350.0,7630.0,7276.0,7603.0,7603.0,0.0
1531,2003-08-20,14158.0,14506.0,14058.0,14467.0,14467.0,0.0
4427,2015-03-19,51530.0,51547.0,50791.0,50954.0,50954.0,3263600.0
5925,2021-03-31,116850.0,117249.0,115932.0,116634.0,116634.0,10659200.0
3881,2013-01-04,63314.0,63314.0,62415.0,62523.0,62523.0,6233800.0
5473,2019-06-03,97036.0,97757.0,96430.0,97020.0,97020.0,4547900.0
1538,2003-08-29,15065.0,15197.0,14857.0,15174.0,15174.0,0.0
4063,2013-09-26,54263.0,54344.0,53429.0,53783.0,53783.0,6266400.0
1154,2002-03-11,13959.0,14032.0,13593.0,13696.0,13696.0,0.0
4430,2015-03-24,51908.0,52223.0,51006.0,51506.0,51506.0,3436500.0
2932,2009-03-05,38391.0,38391.0,36973.0,37369.0,37369.0,1354600.0
2492,2007-05-23,52210.0,52505.0,51670.0,51813.0,51813.0,177385300.0
1515,2003-07-29,13652.0,13704.0,13577.0,13623.0,13623.0,0.0
1914,2005-02-10,26314.0,26456.0,25882.0,26416.0,26416.0,0.0
1696,2004-04-07,23061.0,23061.0,22443.0,22443.0,22443.0,0.0
2205,2006-04-05,38803.0,39054.0,38475.0,39053.0,39053.0,0.0
2743,2008-06-03,71897.0,72019.0,69602.0,70012.0,70012.0,1301200.0
5906,2021-03-04,111191.0,114433.0,111163.0,112690.0,112690.0,14221600.0
2410,2007-01-22,43431.0,43879.0,43183.0,43553.0,43553.0,70802000.0
4842,2016-11-22,61072.0,62550.0,61072.0,61954.0,61954.0,3987100.0
208,1998-07-24,10640.0,10784.0,10403.0,10575.0,10575.0,0.0
826,2000-12-06,14180.0,14277.0,13945.0,13945.0,13945.0,0.0
2188,2006-03-13,36891.0,37259.0,36513.0,36793.0,36793.0,0.0
3592,2011-10-31,59513.0,59513.0,58094.0,58338.0,58338.0,2258000.0
2789,2008-08-07,57546.0,57942.0,56960.0,57018.0,57018.0,1116400.0
1246,2002-07-17,10589.0,10814.0,10589.0,10755.0,10755.0,0.0
6077,2021-11-09,104783.0,106674.0,104783.0,105535.0,105535.0,11021200.0
306,1998-12-09,7629.0,7773.0,7431.0,7573.0,7573.0,0.0
3320,2010-09-27,68197.0,68926.0,68011.0,68816.0,68816.0,2138600.0
5993,2021-07-08,127013.0,127013.0,124310.0,125428.0,125428.0,8881400.0
6054,2021-10-05,110397.0,111691.0,110087.0,110458.0,110458.0,10379000.0
5273,2018-08-07,81093.0,81742.0,79923.0,80347.0,80347.0,3861200.0
1286,2002-09-11,9967.0,10248.0,9967.0,10182.0,10182.0,0.0
4849,2016-12-01,61906.0,61911.0,59058.0,59507.0,59507.0,5352800.0
3646,2012-01-18,60643.0,61723.0,60610.0,61723.0,61723.0,2757800.0
3940,2013-04-03,54888.0,55574.0,54740.0,55563.0,55563.0,4480400.0
3054,2009-08-28,57704.0,58136.0,57344.0,57701.0,57701.0,1176200.0
2311,2006-08-31,36313.0,36606.0,36013.0,36232.0,36232.0,0.0
1780,2004-08-03,22453.0,22600.0,22340.0,22373.0,22373.0,0.0
153,1998-05-08,11065.0,11342.0,11065.0,11220.0,11220.0,0.0
4226,2014-05-28,52174.0,52858.0,52009.0,52640.0,52640.0,2842500.0
2051,2005-08-25,26712.0,27403.0,26712.0,27402.0,27402.0,0.0
106,1998-03-04,10939.0,10939.0,10798.0,10899.0,10899.0,0.0
612,2000-02-10,18367.0,18672.0,18155.0,18604.0,18604.0,0.0
5567,2019-10-15,104299.0,105048.0,104052.0,104490.0,104490.0,4093400.0
1106,2002-01-02,13586.0,13902.0,13571.0,13872.0,13872.0,0.0
2399,2007-01-05,44019.0,44081.0,42160.0,42245.0,42245.0,164055000.0
5095,2017-11-21,73439.0,75073.0,73439.0,74595.0,74595.0,3539600.0
573,1999-12-17,14524.0,14793.0,14524.0,14789.0,14789.0,0.0
1509,2003-07-21,13794.0,13859.0,13676.0,13676.0,13676.0,0.0
4593,2015-11-18,47241.0,47951.0,47241.0,47436.0,47436.0,3965500.0
3134,2009-12-24,,,,,,
2393,2006-12-26,43356.0,43611.0,43356.0,43603.0,43603.0,47331000.0
1303,2002-10-04,9151.0,9319.0,9092.0,9260.0,9260.0,0.0
5353,2018-12-04,89820.0,90452.0,88041.0,88624.0,88624.0,4879700.0
1633,2004-01-09,23722.0,24088.0,23710.0,23917.0,23917.0,0.0
947,2001-05-24,14694.0,14834.0,14431.0,14523.0,14523.0,0.0
4235,2014-06-10,54273.0,54604.0,53960.0,54604.0,54604.0,3729900.0
3673,2012-03-01,65812.0,66931.0,65812.0,66810.0,66810.0,2328800.0
5104,2017-12-04,72266.0,73749.0,72266.0,73090.0,73090.0,3038600.0
5314,2018-10-04,83275.0,83430.0,81892.0,82953.0,82953.0,4935600.0
234,1998-08-31,6746.0,6788.0,6454.0,6472.0,6472.0,0.0
